ExperimentName,Subject,Session,Procedure[Block],Running[Block],Trial,Block1ITEMS,Block2ITEMS,cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,Rword2.RT,Group,Procedure[Trial]
D_JOL A 2,117,1,BlockProc2,Block2,26,,79,Main - Scar,U,79,,,40,2249,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,27,,62,Stretch - Cloth,U,62,,,55,4621,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,28,,26,Thread - Thimble,B,26,,,40,2851,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,29,,7,Furry - Dog,F,7,,,75,3101,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,30,,46,Element - Carbon,S,46,,,45,1872,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,31,,27,Even - Revenge,B,27,,,80,6800,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,32,,16,Dine - Eat,F,16,,,55,5343,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,33,,14,Document - Paper,F,14,,,50,2142,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,34,,24,Bird - Penguin,B,24,,,70,2640,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,35,,58,Own - Have,S,58,,,45,6173,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,36,,39,Sleep - Nap,B,39,,,55,7392,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,37,,4,Shoelace - Tie,F,4,,,55,3887,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,38,,20,Affection - Love,F,20,,,70,2515,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,39,,36,Baseball - League,B,36,,,65,4665,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,40,,48,Water - Drink,S,48,,,80,2906,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,41,,64,Maze - Election,U,64,,,0,2697,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,42,,32,Glass - Breakable,B,32,,,70,3003,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,43,,71,Name - Hate,U,71,,,40,3835,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,44,,29,Fruit - Strawberry,B,29,,,30,4682,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,45,,41,Razor - Shave,S,41,,,60,2612,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,46,,72,Fuzzy - Bang,U,72,,,,3384,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,47,,21,Turn - Flip,B,21,,,40,2540,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,48,,49,Earth - Ground,S,49,,,50,3588,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,49,,56,Flea - Tick,S,56,,,50,2030,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,50,,45,Wrist - Bracelet,S,45,,,45,2150,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,51,,1,Extension - Long,F,1,,,30,3992,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,52,,50,Alone - Lonely,S,50,,,0,7867,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,53,,17,Shears - Scissors,F,17,,,67,3917,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,54,,44,Candle - Wax,S,44,,,60,2150,,,,,1,StudyProc5
